,Property_Type,Price,Title,Location,Description,Time,Amenities
69,iVilla,"870,000EGP",ivilla roof mountainview icity without over lagoon,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,230sqm",Listed 21 days ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Lobby in Building,Balcony,Shared Gym,Maids Room,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
70,Villa,"42,000,000EGP",Stand alone 100m for sale Lake view  New Cairo,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","6bedrooms,8bathrooms,1,100sqm",Listed 12 days ago,"Unfurnished,Central A/C,Security,Private Garden,Children's Pool,Concierge,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
71,Townhouse,"350,000EGP",villa prime location in sodic installments 7 years,"Sodic East, 6th District, New Heliopolis, Cairo","3bedrooms,3bathrooms,234sqm",Listed 23 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
72,iVilla,"813,000EGP",I villa roof sale mountain view icity view lagoon,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,240sqm",Listed 21 days ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Lobby in Building,Balcony,Shared Gym,Maids Room,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
73,iVilla,"2,000,000EGP",*Resale* I Villa Roof Corner in Prime Location  MV,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,4bathrooms,280sqm",Listed 12 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
74,Apartment,"1,800,000EGP","Apartment for sale in Jannah Compound,","American University Housing District, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,140sqm",Listed 11 days ago,none
75,Hotel Apartment,"8,200,000EGP",Enjoy a hotel apart with a charming view in Zayed,"Canal Walk, 205, 26th of July Corridor, Sheikh Zayed City, Giza","2bedrooms,3bathrooms,164sqm",Listed 25 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Security,Concierge,Balcony,Shared Gym,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
76,Villa,"1,000,000EGP",villa ready to move 240 meters in La Vista City,"La Vista City, New Capital Compounds, New Capital City, Cairo","4bedrooms,4bathrooms,240sqm",Listed 25 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
77,Chalet,"370,000EGP",Chalet for sale at the highest peak in Ain Sokhna,"IL Monte Galala, Al Ain Al Sokhna, Suez","3bedrooms,2bathrooms,126sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
78,Chalet,"2,500,000EGP","chalet for sale,Lagoon and Sea view, Marina Front","Marassi, Sidi Abdel Rahman, North Coast","2bedrooms,2bathrooms,133sqm",Listed 14 days ago,none
79,Chalet,"3,000,000EGP",Chalet Fully Finished in Aroma Residence,"Aroma Residence, Al Ain Al Sokhna, Suez","2bedrooms,2bathrooms,100sqm",Listed 11 days ago,"Furnished,Central A/C,Security,Balcony,View of Landmark"
80,Villa,"16,000,000EGP",Villa for sale Katameya Hills BUA 650 Land 550,"Katameya Hills, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4bedrooms,3bathrooms,450sqm",Listed 14 days ago,none
81,Villa,"210,000EGP",Villa for sale with 5% down payment in sarai,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3bedrooms,3bathrooms,178sqm",Listed 6 days ago,"Unfurnished,Kitchen Appliances,Private Jacuzzi,Security,Private Garden,Lobby in Building,Balcony,Shared Gym,Maids Room,Private Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
82,Villa,"13,000,000EGP",Separate Villa 385M for sale  Palm Hills New Cairo,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5bedrooms,6bathrooms,385sqm",Listed 27 days ago,"Unfurnished,Kitchen Appliances,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
83,Villa,"20,000,000EGP",mountain view 2 / standalone on pool / low price,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5bedrooms,5bathrooms,583sqm",Listed 1 day ago,"Unfurnished,Security,Private Garden,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
84,Chalet,"1,280,000EGP",شاليه للبيع باهرامات بورتو السخنه بسعر لقطه,"Pyramids, Porto Sokhna, Al Ain Al Sokhna, Suez","2bedrooms,2bathrooms,110sqm",Listed 5 months ago,"Furnished,Kitchen Appliances,Central A/C,Security,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Study,Private Pool,Shared Pool,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
85,Apartment,"8,000,000EGP",Apartment 3 Bedrooms Open View in Boulevard Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,208sqm",Listed 1 month ago,"Unfurnished,Central A/C,Security,Balcony,Shared Gym,Shared Pool,Pets Allowed,Shared Spa"
86,Apartment,"1,500,000EGP",Studio - semi-finished - Cairo - Fifth Settlement.,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Studio,2bathrooms,86sqm",Listed 11 days ago,"Unfurnished,Security,Balcony,Study,Walk-in Closet,Shared Pool,Children's Play Area,Covered Parking,Shared Spa"
87,Villa,"900,000EGP",villa standalone at  palm hills badya,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","4bedrooms,3bathrooms,300sqm",Listed 4 days ago,"Unfurnished,Kitchen Appliances,Security,Private Garden,Maid Service,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Covered Parking,Shared Spa"
88,Apartment,"3,900,000EGP",fully F|sale includes kitchen and air conditioners,"East The Academy, New Cairo City, Cairo","4bedrooms,2bathrooms,220sqm",Listed 1 month ago,none
89,Apartment,"430,000EGP",apartment 165m  in prime location + installments,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,165sqm",Listed 25 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
90,Chalet,Askforprice,Chalet with Garden for sale Telal -Sokhna sea view,"Telal Al Sokhna, Al Ain Al Sokhna, Suez","3bedrooms,1bathroom,125sqm",Listed 1 month ago,"Unfurnished,Central A/C,Security,Private Garden,Children's Pool,Concierge,Maid Service,Lobby in Building,Balcony,Shared Gym,Maids Room,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
91,Apartment,"3,934,459EGP",Avenues - mivida - Apartment- Emaar,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2bedrooms,2bathrooms,140sqm",Listed 1 month ago,none
92,Apartment,"4,400,000EGP",fully finished apartment with private garden,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2bedrooms,3bathrooms,132sqm",Listed 1 month ago,"Unfurnished,Security,Private Garden,Balcony,Shared Gym,Pets Allowed,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
93,Villa,"12,000,000EGP",Villa for sale in  VYE Sodic with 5 % down payment,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza","6bedrooms,3bathrooms,350sqm",Listed 2 months ago,"Unfurnished,Security,Private Garden,Shared Gym,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
94,Apartment,"330,000EGP",Apartment for sale in Taj City under market price,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,223sqm",Listed 25 days ago,"Unfurnished,Security,Children's Pool,Lobby in Building,Balcony,Shared Gym,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Barbecue Area,Covered Parking,Shared Spa"
95,Apartment,"3,000,000EGP",Apartment 142m for sale in Lakeview residence3M,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2bedrooms,2bathrooms,142sqm",Listed 15 days ago,none
96,Villa,"900,000EGP",villa town house at the crown compound October,"The Crown, Cairo Alexandria Desert Road, 6 October City, Giza","4bedrooms,4bathrooms,215sqm",Listed 4 days ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
97,Apartment,"1,002,800EGP",Apartment for sale in Zahraa El Maadi,"Degla Elegance, Zahraa El Maadi, Hay El Maadi, Cairo","2bedrooms,1bathroom,92sqm",Listed 2 months ago,"Unfurnished,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Balcony,Private Gym,Maids Room,Shared Pool,View of Landmark,Children's Play Area,Barbecue Area"
98,Apartment,"1,100,000EGP",Apartment sale iCity new cairo under market price,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,165sqm",Listed 26 days ago,"Unfurnished,Security,Children's Pool,Concierge,Maid Service,Lobby in Building,Balcony,Shared Gym,Maids Room,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
99,Villa,"5,000,000EGP",Last townhouses in Badya with 0%DP over 10 years,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","4bedrooms,3bathrooms,230sqm",Listed 1 month ago,"Unfurnished,Private Jacuzzi,Security,Private Garden,Children's Pool,Built in Wardrobes,Lobby in Building,Balcony,Maids Room,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
100,Apartment,"8,300,000EGP",Apt for sale|223 m|Kitchen-ACs|Prime view-price,"Fountain Side, Uptown Cairo, Mokattam, Cairo","3bedrooms,3bathrooms,223sqm",Listed 6 days ago,"Partly furnished,Kitchen Appliances,Central A/C,Security,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Shared Gym,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
101,Villa,"8,100,000EGP",villa twinhouse Ready to move with 20%downpayment,"Cleopatra Palace, 5th District, Shorouk City, Cairo","4bedrooms,4bathrooms,379sqm",Listed 11 days ago,"Unfurnished,Security,Private Garden,Concierge,Maid Service,Lobby in Building,Balcony,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
102,Villa,"6,400,000EGP",Townhouse corner | Under market price | eastshire,"Eastshire compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,166sqm",Listed 1 month ago,"Unfurnished,Security,Balcony"
103,Apartment,"621,300EGP",Apartment for sale in Zahraa El Maadi,"Degla Elegance, Zahraa El Maadi, Hay El Maadi, Cairo","Studio,1bathroom,57sqm",Listed 2 months ago,"Unfurnished,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Balcony,Private Gym,Pets Allowed,View of Landmark,Children's Play Area,Barbecue Area"
104,Apartment,"3,255,000EGP",Apartment for sale in villette with instalments,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,190sqm",Listed 11 days ago,"Unfurnished,Balcony,Maids Room,Study,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
105,Apartment,"2,700,000EGP",Apartment High finished in ( EL Banafseg 11 ),"Suleiman Al Halabi St., El Banafseg 11, El Banafseg, New Cairo City, Cairo","3bedrooms,3bathrooms,180sqm",Listed 3 days ago,"Partly furnished,Security,Balcony,Covered Parking"
106,Apartment,"2,845,000EGP",apartment in lake view residence 142m,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2bedrooms,2bathrooms,142sqm",Listed 20 days ago,"Unfurnished,Security,Children's Pool,Maid Service,Balcony,Shared Gym,Study,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,Children's Play Area,Barbecue Area,Shared Spa"
107,Apartment,"415,000EGP","APARTMENT FOR SALE IN CASTLE LANDMARK, NEW CAPITAL","Castle Landmark, New Capital Compounds, New Capital City, Cairo","5bedrooms,2bathrooms,285sqm",Listed 3 months ago,none
108,Villa,Askforprice,"Villa 220m|45,000 Monthly|Installment for 12 Years","Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","3bedrooms,4bathrooms,220sqm",Listed 21 days ago,"Unfurnished,Security,Private Garden,Balcony,Shared Gym,Maids Room,Walk-in Closet,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
109,Chalet,"12,500,000EGP",Stand alone chalet for sale In Hacienda White    .,"Hacienda White, Sidi Abdel Rahman, North Coast","3bedrooms,5bathrooms,270sqm",Listed 15 days ago,"Unfurnished,Security,Children's Pool,Balcony,Shared Pool,Pets Allowed,Children's Play Area,Barbecue Area"
110,Chalet,"3,370,000EGP",90 m Sea View Chalet - Galal Resort,"Majesty Bay Galala Resort, Al Ain Al Sokhna, Suez","2bedrooms,1bathroom,90sqm",Listed 24 days ago,"Unfurnished,Private Jacuzzi,Security,Private Garden,Children's Pool,Maid Service,Built in Wardrobes,Balcony,Private Gym,Shared Gym,Study,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
111,Apartment,"1,346,400EGP",Garden View Apartment in Unique Location -Hurghada,"Touristic Center, Hurghada, Red Sea","2bedrooms,1bathroom,85sqm",Listed more than 6 months ago,"Unfurnished,Security,Private Garden,Children's Pool,Maid Service,Lobby in Building,Balcony,Shared Gym,Maids Room,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
112,Penthouse,"4,400,000EGP",Penthouse 340 m for Sale in Mirage Residence,"Mirage Residence, The 1st Settlement, New Cairo City, Cairo","3bedrooms,3bathrooms,340sqm",Listed 26 days ago,"Partly furnished,Private Jacuzzi,Security,Children's Pool,Concierge,Balcony,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking"
113,Villa,"30,000,000EGP",Villa 575m Ready to move Palm Hills Pk1 over 8year,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo","7bedrooms,8bathrooms,575sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
114,Apartment,"2,199,649EGP",Good view - fully finished - Shorouk City,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","3bedrooms,3bathrooms,180sqm",Listed 1 month ago,"Unfurnished,Kitchen Appliances,Central A/C,Private Jacuzzi,Security,Private Garden,Children's Pool,Concierge,Maid Service,Built in Wardrobes,Lobby in Building,Balcony,Private Gym,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
115,Apartment,"2,600,000EGP",شقه للبيع في كمبوند ايزولا استلام فوري,"Isola, Hadayek October, 6 October City, Giza","3bedrooms,2bathrooms,210sqm",Listed 1 month ago,"Unfurnished,Security,Private Garden,Children's Pool,Concierge,Balcony,Shared Pool,Pets Allowed,View of Water,View of Landmark,Children's Play Area,Barbecue Area,Shared Spa"
116,Villa,"15,000,000EGP",Stand alone fully finished in Emaar New Zayed 0%dp,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza","3bedrooms,3bathrooms,263sqm",Listed 1 month ago,"Partly furnished,Kitchen Appliances,Security,Private Garden,Children's Pool,Built in Wardrobes,Balcony,Shared Gym,Maids Room,Study,Walk-in Closet,Private Pool,Shared Pool,Pets Allowed,View of Water,Children's Play Area,Barbecue Area,Covered Parking,Shared Spa"
